"","end_time_local","id","start_time_local","title","username","streams.AirBeam-PM.average_value","streams.AirBeam-PM.id","streams.AirBeam-PM.max_latitude","streams.AirBeam-PM.max_longitude","streams.AirBeam-PM.measurement_short_type","streams.AirBeam-PM.measurement_type","streams.AirBeam-PM.measurements_count","streams.AirBeam-PM.min_latitude","streams.AirBeam-PM.min_longitude","streams.AirBeam-PM.sensor_name","streams.AirBeam-PM.sensor_package_name","streams.AirBeam-PM.session_id","streams.AirBeam-PM.start_latitude","streams.AirBeam-PM.start_longitude","streams.AirBeam-PM.threshold_high","streams.AirBeam-PM.threshold_low","streams.AirBeam-PM.threshold_medium","streams.AirBeam-PM.threshold_very_high","streams.AirBeam-PM.threshold_very_low","streams.AirBeam-PM.unit_name","streams.AirBeam-PM.unit_symbol","streams.AirBeam-PM.size","streams.AirBeam-F.average_value","streams.AirBeam-F.id","streams.AirBeam-F.max_latitude","streams.AirBeam-F.max_longitude","streams.AirBeam-F.measurement_short_type","streams.AirBeam-F.measurement_type","streams.AirBeam-F.measurements_count","streams.AirBeam-F.min_latitude","streams.AirBeam-F.min_longitude","streams.AirBeam-F.sensor_name","streams.AirBeam-F.sensor_package_name","streams.AirBeam-F.session_id","streams.AirBeam-F.start_latitude","streams.AirBeam-F.start_longitude","streams.AirBeam-F.threshold_high","streams.AirBeam-F.threshold_low","streams.AirBeam-F.threshold_medium","streams.AirBeam-F.threshold_very_high","streams.AirBeam-F.threshold_very_low","streams.AirBeam-F.unit_name","streams.AirBeam-F.unit_symbol","streams.AirBeam-F.size","streams.Phone Microphone.average_value","streams.Phone Microphone.id","streams.Phone Microphone.max_latitude","streams.Phone Microphone.max_longitude","streams.Phone Microphone.measurement_short_type","streams.Phone Microphone.measurement_type","streams.Phone Microphone.measurements_count","streams.Phone Microphone.min_latitude","streams.Phone Microphone.min_longitude","streams.Phone Microphone.sensor_name","streams.Phone Microphone.sensor_package_name","streams.Phone Microphone.session_id","streams.Phone Microphone.start_latitude","streams.Phone Microphone.start_longitude","streams.Phone Microphone.threshold_high","streams.Phone Microphone.threshold_low","streams.Phone Microphone.threshold_medium","streams.Phone Microphone.threshold_very_high","streams.Phone Microphone.threshold_very_low","streams.Phone Microphone.unit_name","streams.Phone Microphone.unit_symbol","streams.Phone Microphone.size","streams.AirBeam-RH.average_value","streams.AirBeam-RH.id","streams.AirBeam-RH.max_latitude","streams.AirBeam-RH.max_longitude","streams.AirBeam-RH.measurement_short_type","streams.AirBeam-RH.measurement_type","streams.AirBeam-RH.measurements_count","streams.AirBeam-RH.min_latitude","streams.AirBeam-RH.min_longitude","streams.AirBeam-RH.sensor_name","streams.AirBeam-RH.sensor_package_name","streams.AirBeam-RH.session_id","streams.AirBeam-RH.start_latitude","streams.AirBeam-RH.start_longitude","streams.AirBeam-RH.threshold_high","streams.AirBeam-RH.threshold_low","streams.AirBeam-RH.threshold_medium","streams.AirBeam-RH.threshold_very_high","streams.AirBeam-RH.threshold_very_low","streams.AirBeam-RH.unit_name","streams.AirBeam-RH.unit_symbol","streams.AirBeam-RH.size","type","average"
"1","2015-10-04T19:44:54Z",10046,"2015-10-04T17:52:52Z","Crescent Beach ","HHHDenver",13.480500,27899, 27.26265, -82.53442,PM,Particulate Matter,6696, 27.24753, -82.54849,AirBeam-PM,AirBeam:001896105CBB,10046, 27.24792, -82.53494,55,12,35,150,0,micrograms per cubic meter,µg/m³,6696,79.2431,27900, 27.26265, -82.53442,F,Temperature,6696, 27.24753, -82.54849,AirBeam-F,AirBeam:001896105CBB,10046, 27.24792, -82.53494,75,25,50,100,0,degrees Fahrenheit,F,6696, 94.4357,27901, 27.26265, -82.53442,dB,Sound Level, 8632, 27.24753, -82.54849,Phone Microphone,Builtin,10046, 27.24792, -82.53494,80,60,70,100,20,decibels,dB, 8632,63.7921,27902, 27.26265, -82.53442,RH,Humidity,6696, 27.24753, -82.54849,AirBeam-RH,AirBeam:001896105CBB,10046, 27.24792, -82.53494,75,25,50,100,0,percent,%,6696,"MobileSession",13.4805033
"2","2015-10-03T19:01:06Z",10031,"2015-10-03T17:57:34Z","SRQ to Seaclub V","HHHDenver", 3.842740,27782, 27.39048, -82.52287,PM,Particulate Matter,3799, 27.24798, -82.55666,AirBeam-PM,AirBeam:001896105CBB,10031, 31.98162, -84.94646,55,12,35,150,0,micrograms per cubic meter,µg/m³,3799,82.5925,27783, 27.39048, -82.52287,F,Temperature,3799, 27.24798, -82.55666,AirBeam-F,AirBeam:001896105CBB,10031, 31.98162, -84.94646,75,25,50,100,0,degrees Fahrenheit,F,3799, 69.8291,27784, 27.39048, -82.52287,dB,Sound Level, 4897, 27.24798, -82.55666,Phone Microphone,Builtin,10031, 31.98162, -84.94646,80,60,70,100,20,decibels,dB, 4897,50.1132,27785, 27.39047, -82.52287,RH,Humidity,3799, 27.24798, -82.55666,AirBeam-RH,AirBeam:001896105CBB,10031, 31.98162, -84.94646,75,25,50,100,0,percent,%,3799,"MobileSession", 3.8427402
"3","2015-10-03T21:32:25Z",10030,"2015-10-03T20:27:19Z","212 to Phillipi Creek","HHHDenver", 1.946170,27778, 27.27547, -82.52271,PM,Particulate Matter,3892, 27.24795, -82.53523,AirBeam-PM,AirBeam:001896105CBB,10030, 27.24802, -82.53451,55,12,35,150,0,micrograms per cubic meter,µg/m³,3892,82.7420,27779, 27.27547, -82.52271,F,Temperature,3892, 27.24795, -82.53523,AirBeam-F,AirBeam:001896105CBB,10030, 27.24802, -82.53451,75,25,50,100,0,degrees Fahrenheit,F,3892, 70.7240,27780, 27.27547, -82.52271,dB,Sound Level, 5011, 27.24795, -82.53523,Phone Microphone,Builtin,10030, 27.24802, -82.53451,80,60,70,100,20,decibels,dB, 5011,58.3094,27781, 27.27547, -82.52271,RH,Humidity,3892, 27.24795, -82.53523,AirBeam-RH,AirBeam:001896105CBB,10030, 27.24802, -82.53451,75,25,50,100,0,percent,%,3892,"MobileSession", 1.9461665
"4","2015-10-03T22:39:47Z",10029,"2015-10-03T21:49:13Z","public to 212","HHHDenver", 2.914160,27774, 27.26121, -82.51908,PM,Particulate Matter,3023, 27.24765, -82.53539,AirBeam-PM,AirBeam:001896105CBB,10029, 27.26095, -82.51915,55,12,35,150,0,micrograms per cubic meter,µg/m³,3023,79.3073,27775, 27.26121, -82.51908,F,Temperature,3023, 27.24765, -82.53539,AirBeam-F,AirBeam:001896105CBB,10029, 27.26095, -82.51915,75,25,50,100,0,degrees Fahrenheit,F,3023, 79.6832,27776, 27.26121, -82.51908,dB,Sound Level, 3932, 27.24765, -82.53539,Phone Microphone,Builtin,10029, 27.26095, -82.51915,80,60,70,100,20,decibels,dB, 3932,40.9570,27777, 27.26120, -82.51908,RH,Humidity,3023, 27.24765, -82.53539,AirBeam-RH,AirBeam:001896105CBB,10029, 27.26095, -82.51915,75,25,50,100,0,percent,%,3023,"MobileSession", 2.9141614
"5","2015-10-02T04:25:30Z",10026,"2015-10-02T03:28:24Z","e","HHHDenver", 0.906306,27765, 40.51748, -79.28824,PM,Particulate Matter,3414, 40.02125, -79.80123,AirBeam-PM,AirBeam:001896105CBB,10026, 40.02252, -79.29609,55,12,35,150,0,micrograms per cubic meter,µg/m³,3414,75.9795,27766, 40.51748, -79.28824,F,Temperature,3415, 40.02125, -79.80123,AirBeam-F,AirBeam:001896105CBB,10026, 40.02252, -79.29609,75,25,50,100,0,degrees Fahrenheit,F,3415, 75.1459,27767, 40.51748, -79.28824,dB,Sound Level, 4431, 40.02125, -79.80123,Phone Microphone,Builtin,10026, 40.02252, -79.29609,80,60,70,100,20,decibels,dB, 4431,29.5280,27768, 40.51748, -79.28824,RH,Humidity,3415, 40.02125, -79.80123,AirBeam-RH,AirBeam:001896105CBB,10026, 40.02252, -79.29609,75,25,50,100,0,percent,%,3415,"MobileSession", 0.9063064
"6","2015-10-02T04:53:40Z",10025,"2015-10-02T04:52:14Z","g","HHHDenver", 0.797701,27761, 40.43299, -80.11110,PM,Particulate Matter,  87, 40.42451, -80.14091,AirBeam-PM,AirBeam:001896105CBB,10025, 40.42451, -80.11110,55,12,35,150,0,micrograms per cubic meter,µg/m³,  87,80.0000,27762, 40.43299, -80.11110,F,Temperature,  87, 40.42451, -80.14091,AirBeam-F,AirBeam:001896105CBB,10025, 40.42451, -80.11110,75,25,50,100,0,degrees Fahrenheit,F,  87, 72.1014,27763, 40.43299, -80.11110,dB,Sound Level,  113, 40.42451, -80.14091,Phone Microphone,Builtin,10025, 40.42451, -80.11110,80,60,70,100,20,decibels,dB,  113,24.0690,27764, 40.43299, -80.11110,RH,Humidity,  87, 40.42451, -80.14091,AirBeam-RH,AirBeam:001896105CBB,10025, 40.42451, -80.11110,75,25,50,100,0,percent,%,  87,"MobileSession", 0.7977011
"7","2015-09-30T15:14:58Z",10007,"2015-09-30T14:33:22Z","Prezentation","HHHDenver", 1.043440,27701, 40.02388, -79.29854,PM,Particulate Matter,2488, 40.02368, -79.29891,AirBeam-PM,AirBeam:001896105CBB,10007, 40.02375, -79.29859,55,12,35,150,0,micrograms per cubic meter,µg/m³,2488,76.1785,27702, 40.02388, -79.29854,F,Temperature,2488, 40.02368, -79.29891,AirBeam-F,AirBeam:001896105CBB,10007, 40.02375, -79.29859,75,25,50,100,0,degrees Fahrenheit,F,2488, 78.6857,27703, 40.02388, -79.29854,dB,Sound Level, 3250, 40.02368, -79.29891,Phone Microphone,Builtin,10007, 40.02375, -79.29859,80,60,70,100,20,decibels,dB, 3250,34.2002,27704, 40.02388, -79.29854,RH,Humidity,2488, 40.02368, -79.29891,AirBeam-RH,AirBeam:001896105CBB,10007, 40.02375, -79.29859,75,25,50,100,0,percent,%,2488,"MobileSession", 1.0434445
"8","2015-09-30T09:47:35Z",10005,"2015-09-30T08:12:18Z","Siegel","HHHDenver", 0.582254,27693, 40.02387, -79.29575,PM,Particulate Matter,5697, 40.02233, -79.29873,AirBeam-PM,AirBeam:001896105CBB,10005, 40.02255, -79.29575,55,12,35,150,0,micrograms per cubic meter,µg/m³,5697,77.2340,27694, 40.02387, -79.29575,F,Temperature,5697, 40.02233, -79.29873,AirBeam-F,AirBeam:001896105CBB,10005, 40.02255, -79.29575,75,25,50,100,0,degrees Fahrenheit,F,5697, 66.8940,27695, 40.02387, -79.29575,dB,Sound Level, 7314, 40.02233, -79.29873,Phone Microphone,Builtin,10005, 40.02255, -79.29575,80,60,70,100,20,decibels,dB, 7314,37.7636,27696, 40.02387, -79.29575,RH,Humidity,5697, 40.02233, -79.29873,AirBeam-RH,AirBeam:001896105CBB,10005, 40.02255, -79.29575,75,25,50,100,0,percent,%,5697,"MobileSession", 0.5822538
"9","2015-09-29T20:41:52Z", 9993,"2015-09-29T19:53:12Z","seven springs 1","HHHDenver",11.145800,27639, 40.36915, -79.29591,PM,Particulate Matter,2680, 40.02296, -79.69246,AirBeam-PM,AirBeam:001896105CBB, 9993, 40.36915, -79.67888,55,12,35,150,0,micrograms per cubic meter,µg/m³,2680,83.7612,27640, 40.36915, -79.29591,F,Temperature,2680, 40.02295, -79.69246,AirBeam-F,AirBeam:001896105CBB, 9993, 40.36915, -79.67888,75,25,50,100,0,degrees Fahrenheit,F,2680, 79.9643,27641, 40.36915, -79.29591,dB,Sound Level, 3784, 40.02272, -79.69246,Phone Microphone,Builtin, 9993, 40.36915, -79.67888,80,60,70,100,20,decibels,dB, 3784,27.0396,27642, 40.36915, -79.29591,RH,Humidity,2680, 40.02295, -79.69246,AirBeam-RH,AirBeam:001896105CBB, 9993, 40.36915, -79.67888,75,25,50,100,0,percent,%,2680,"MobileSession",11.1458321
"10","2015-09-29T19:48:46Z", 9992,"2015-09-29T18:11:15Z","pit 2 ","HHHDenver", 2.381030,27635, 40.49949, -79.72098,PM,Particulate Matter,5831, 40.40788, -80.26991,AirBeam-PM,AirBeam:001896105CBB, 9992, 40.49460, -80.25751,55,12,35,150,0,micrograms per cubic meter,µg/m³,5831,79.9071,27636, 40.49949, -79.72098,F,Temperature,5831, 40.40788, -80.26991,AirBeam-F,AirBeam:001896105CBB, 9992, 40.49460, -80.25751,75,25,50,100,0,degrees Fahrenheit,F,5831, 70.9931,27637, 40.49468, -79.72098,dB,Sound Level,  521, 40.40788, -80.25751,Phone Microphone,Builtin, 9992, 40.49460, -80.25751,80,60,70,100,20,decibels,dB,  521,44.6532,27638, 40.49949, -79.72098,RH,Humidity,5831, 40.40788, -80.26991,AirBeam-RH,AirBeam:001896105CBB, 9992, 40.49460, -80.25751,75,25,50,100,0,percent,%,5831,"MobileSession", 2.3810324
